2026/07/19 14:56:17 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:18 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:19 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:20 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:21 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:22 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:23 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:24 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:25 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:26 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:27 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:28 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:29 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:30 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:31 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:32 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:33 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:34 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:35 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:36 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:37 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:38 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:39 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:40 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
